

White Brain
{::::A:PP:P:A:A::}: x 2, y 1, X 3, Y 2, V 3, u 1
{::::A::P:P:P:A::}: x 0, y 1, X 0, Y 0, V -9223372036854775808, u 1
{::::AP.A.PP:::P:}: x 3, y 1, X 3, Y 0, V -9223372036854775808, u 1
{::::P:A.::.::PP:}: x 2, y 1, X 2, Y 0, V -9223372036854775808, u 1
{::::P:P.:P.A::P:}: x 3, y 2, X 2, Y 1, V -9223372036854775808, u 1
{::::PA:...PP:::A}: x 1, y 1, X 1, Y 0, V -9223372036854775808, u 1
{::::PA:.:.PP:::A}: x 1, y 1, X 1, Y 0, V 2, u 1
{::::PA:AP::A::P:}: x 3, y 1, X 3, Y 0, V 3, u 1
{::::PAP.:A.A::P:}: x 3, y 2, X 3, Y 1, V -9223372036854775808, u 1
{::::PPAAA:.:::P:}: x 2, y 1, X 2, Y 0, V -9223372036854775808, u 1
{::::PPP...AP:::A}: x 2, y 2, X 1, Y 1, V -9223372036854775808, u 1
{::::PPP.::.:::PA}: x 3, y 3, X 3, Y 2, V -9223372036854775808, u 1
{::::PPP.A..P:::A}: x 0, y 2, X 1, Y 1, V 4, u 2
{::::PPPA.:.:::P:}: x 3, y 1, X 3, Y 0, V -9223372036854775808, u 1
{:::A.A:::PP:::P:}: x 1, y 1, X 1, Y 0, V -9223372036854775808, u 1
{:::A.PP:AP.:::P:}: x 0, y 2, X 0, Y 1, V -9223372036854775808, u 3
{:::A.PP:AP.:::P:}: x 0, y 2, X 1, Y 1, V -9223372036854775808, u 1
{:::A:..A:AP::P::}: x 1, y 2, X 1, Y 1, V 3, u 1
{:::A:A.::PP:::P:}: x 1, y 1, X 1, Y 0, V -9223372036854775808, u 1
{:::A:A.A:::::PP:}: x 1, y 1, X 1, Y 0, V 3, u 1
{:::A:A::PP.:::P:}: x 1, y 1, X 1, Y 0, V -9223372036854775808, u 1
{:::AAP.:.:P::PP:}: x 0, y 1, X 0, Y 0, V -9223372036854775808, u 1
{:::AAPP:::.::PP:}: x 0, y 1, X 0, Y 0, V -9223372036854775808, u 3
{:::AP.::.P.PAA::}: x 0, y 3, X 1, Y 2, V -9223372036854775808, u 1
{:::AP.P:.P.:AA:A}: x 3, y 3, X 3, Y 2, V -9223372036854775808, u 1
{:::APA:::::AP:P:}: x 1, y 1, X 1, Y 0, V 3, u 1
{:::APP.:AAP:::P:}: x 0, y 2, X 1, Y 1, V -9223372036854775808, u 1
{:::P.P:.:.A.::AA}: x 2, y 2, X 2, Y 1, V 3, u 1
{:::P:.AAA::.:P::}: x 2, y 1, X 2, Y 0, V 3, u 1
{:::P:.AAPP:.:A::}: x 1, y 3, X 0, Y 2, V 3, u 1
{:::P:.PAPAA.:A::}: x 1, y 2, X 2, Y 1, V -9223372036854775808, u 1
{:::PAP.A.:P.::P:}: x 0, y 1, X 0, Y 0, V -9223372036854775808, u 1
{:::PP.:A.PA.:A::}: x 2, y 2, X 2, Y 1, V 3, u 1
{:::PP.PA.PA.AA::}: x 0, y 3, X 1, Y 2, V -9223372036854775808, u 1
{:::PPA:PA.P.::::}: x 1, y 1, X 1, Y 0, V -9223372036854775808, u 1
{:::PPP:AA.A.::A:}: x 2, y 2, X 1, Y 1, V 4, u 1
{::A:...:A:A:P::P}: x 2, y 2, X 2, Y 1, V 3, u 1
{::A:...:P:APPA::}: x 1, y 3, X 0, Y 2, V 3, u 1
{::A:.:..:A.AP:P:}: x 1, y 2, X 1, Y 1, V 141, u 47
